,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,faixa_nota
0,23,84,Baixo,Alto,Não,7,73,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,médio
1,19,64,Baixo,Médio,Não,8,59,Baixo,Sim,2,Médio,Médio,Público,Negativo,4,Não,Faculdade,Moderado,Feminino,61,médio
2,24,98,Médio,Médio,Sim,7,91,Médio,Sim,2,Médio,Médio,Público,Neutro,4,Não,Pós-Graduação,Perto,Masculino,74,médio
3,29,89,Baixo,Médio,Sim,8,98,Médio,Sim,1,Médio,Médio,Público,Negativo,4,Não,Ensino Médio,Moderado,Masculino,71,médio
4,19,92,Médio,Médio,Sim,6,65,Médio,Sim,3,Médio,Alto,Público,Neutro,4,Não,Faculdade,Perto,Feminino,70,médio
5,19,88,Médio,Médio,Sim,8,89,Médio,Sim,3,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Masculino,71,médio
6,29,84,Médio,Baixo,Sim,7,68,Baixo,Sim,1,Baixo,Médio,Privado,Neutro,2,Não,Ensino Médio,Moderado,Masculino,67,médio
7,25,78,Baixo,Alto,Sim,6,50,Médio,Sim,1,Alto,Alto,Público,Negativo,2,Não,Ensino Médio,Longe,Masculino,66,médio
8,17,94,Médio,Alto,Não,6,80,Alto,Sim,0,Médio,Baixo,Privado,Neutro,1,Não,Faculdade,Perto,Masculino,69,médio
9,23,98,Médio,Médio,Sim,8,71,Médio,Sim,0,Alto,Alto,Público,Positivo,5,Não,Ensino Médio,Moderado,Masculino,72,médio
10,17,80,Baixo,Alto,Não,8,88,Médio,Não,4,Médio,Alto,Privado,Neutro,4,Não,Faculdade,Moderado,Masculino,68,médio
11,17,97,Médio,Alto,Sim,6,87,Baixo,Sim,2,Baixo,Alto,Privado,Neutro,2,Não,Ensino Médio,Perto,Masculino,71,médio
12,21,83,Médio,Médio,Sim,8,97,Baixo,Sim,2,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,70,médio
13,9,82,Médio,Médio,Sim,8,72,Médio,Sim,2,Médio,Médio,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,66,médio
14,10,78,Médio,Alto,Sim,8,74,Médio,Sim,1,Baixo,Médio,Privado,Neutro,4,Não,Pós-Graduação,Perto,Masculino,65,médio
15,17,68,Médio,Médio,Não,8,70,Médio,Sim,2,Médio,Médio,Privado,Positivo,4,Não,Ensino Médio,Perto,Feminino,64,médio
16,14,60,Médio,Baixo,Sim,10,65,Baixo,Sim,0,Alto,Médio,Privado,Positivo,3,Não,Faculdade,Perto,Masculino,60,baixo
17,22,70,Baixo,Médio,Sim,6,82,Médio,Sim,1,Baixo,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,65,médio
18,15,80,Médio,Médio,Sim,9,91,Baixo,Sim,3,Baixo,Médio,Público,Positivo,2,Não,Faculdade,Moderado,Feminino,67,médio
19,12,75,Médio,Alto,Sim,7,58,Médio,Sim,3,Médio,Médio,Privado,Positivo,4,Não,Faculdade,Perto,Masculino,66,médio
20,29,78,Médio,Médio,Não,5,99,Alto,Sim,0,Alto,Médio,Público,Negativo,1,Não,Ensino Médio,Moderado,Feminino,69,médio
21,19,99,Médio,Alto,Não,6,84,Médio,Sim,1,Médio,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,72,médio
22,20,74,Médio,Alto,Não,8,89,Baixo,Sim,1,Médio,Médio,Público,Negativo,2,Não,Faculdade,Moderado,Feminino,66,médio
