date,layoffs_discharge_level_k,hires_rate_pct
2017-01-01,41,4.0
2017-02-01,19,3.0
2017-03-01,27,2.9
2017-04-01,30,3.0
2017-05-01,37,3.6
2017-06-01,42,3.4
2017-07-01,26,3.3
2017-08-01,29,3.3
2017-09-01,42,3.8
2017-10-01,38,3.5
2017-11-01,24,2.5
2017-12-01,43,2.3
2018-01-01,59,3.8
2018-02-01,29,3.2
2018-03-01,32,3.0
2018-04-01,37,2.9
2018-05-01,30,3.3
2018-06-01,43,3.3
2018-07-01,28,3.6
2018-08-01,33,2.8
2018-09-01,36,2.9
2018-10-01,21,3.2
2018-11-01,24,2.6
2018-12-01,40,2.2
2019-01-01,51,3.8
2019-02-01,29,3.0
2019-03-01,33,2.9
2019-04-01,38,3.2
2019-05-01,35,4.0
2019-06-01,34,3.6
2019-07-01,60,3.6
2019-08-01,35,3.2
2019-09-01,34,3.3
2019-10-01,33,3.9
2019-11-01,28,2.9
2019-12-01,55,2.4
2020-01-01,39,3.0
2020-02-01,26,3.0
2020-03-01,188,2.1
2020-04-01,170,1.3
2020-05-01,34,3.0
2020-06-01,44,2.4
2020-07-01,21,3.5
2020-08-01,27,3.6
2020-09-01,19,3.9
2020-10-01,31,5.4
2020-11-01,26,3.0
2020-12-01,34,2.0
2021-01-01,31,3.9
2021-02-01,20,3.1
2021-03-01,23,3.2
2021-04-01,26,4.1
2021-05-01,27,3.9
2021-06-01,37,4.3
2021-07-01,24,4.3
2021-08-01,29,4.3
2021-09-01,39,4.5
2021-10-01,30,5.2
2021-11-01,29,3.4
2021-12-01,44,2.5
2022-01-01,75,4.7
2022-02-01,8,2.4
2022-03-01,16,3.2
2022-04-01,32,3.5
2022-05-01,29,3.8
2022-06-01,36,4.3
2022-07-01,33,3.7
2022-08-01,58,3.8
2022-09-01,27,3.5
2022-10-01,45,3.8
2022-11-01,38,3.2
2022-12-01,55,1.8
2023-01-01,59,2.6
2023-02-01,33,2.6
2023-03-01,42,3.1
2023-04-01,29,2.5
2023-05-01,41,2.2
2023-06-01,32,2.8
2023-07-01,42,2.9
2023-08-01,28,2.2
2023-09-01,20,2.7
2023-10-01,16,1.9
2023-11-01,25,2.1
2023-12-01,32,1.6
2024-01-01,22,2.7
2024-02-01,19,2.7
2024-03-01,34,2.5
2024-04-01,29,2.4
2024-05-01,36,3.0
2024-06-01,37,2.9
2024-07-01,38,2.9
2024-08-01,53,3.0
2024-09-01,32,3.1
2024-10-01,29,2.6
2024-11-01,37,2.4
2024-12-01,29,1.7
2025-01-01,33,2.9
2025-02-01,37,2.4
2025-03-01,34,2.6
2025-04-01,39,3.0
2025-05-01,37,3.1
2025-06-01,53,3.9
2025-07-01,45,3.3
2025-08-01,41,2.7
2025-09-01,41,2.8
2025-10-01,40,2.7
2025-11-01,50,2.7
