Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Categoria_Desempenho,Faixa_Frequencia,Horas_Estudadas_Normalizado
23,84,Baixo,Alto,Não,7,73,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,Médio,Alta,0.5049415064154527
19,64,Baixo,Médio,Não,8,59,Baixo,Sim,2,Médio,Médio,Público,Negativo,4,Não,Faculdade,Moderado,Feminino,61,Baixo,Média,-0.16282241129609587
24,98,Médio,Médio,Sim,7,91,Médio,Sim,2,Médio,Médio,Público,Neutro,4,Não,Pós-Graduação,Perto,Masculino,74,Médio,Alta,0.6718824858433398
29,89,Baixo,Médio,Sim,8,98,Médio,Sim,1,Médio,Médio,Público,Negativo,4,Não,Ensino Médio,Moderado,Masculino,71,Médio,Alta,1.5065873829827754
19,92,Médio,Médio,Sim,6,65,Médio,Sim,3,Médio,Alto,Público,Neutro,4,Não,Faculdade,Perto,Feminino,70,Médio,Alta,-0.16282241129609587
19,88,Médio,Médio,Sim,8,89,Médio,Sim,3,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Masculino,71,Médio,Alta,-0.16282241129609587
29,84,Médio,Baixo,Sim,7,68,Baixo,Sim,1,Baixo,Médio,Privado,Neutro,2,Não,Ensino Médio,Moderado,Masculino,67,Médio,Alta,1.5065873829827754
25,78,Baixo,Alto,Sim,6,50,Médio,Sim,1,Alto,Alto,Público,Negativo,2,Não,Ensino Médio,Longe,Masculino,66,Médio,Média,0.8388234652712269
17,94,Médio,Alto,Não,6,80,Alto,Sim,0,Médio,Baixo,Privado,Neutro,1,Não,Faculdade,Perto,Masculino,69,Médio,Alta,-0.49670437015187013
23,98,Médio,Médio,Sim,8,71,Médio,Sim,0,Alto,Alto,Público,Positivo,5,Não,Ensino Médio,Moderado,Masculino,72,Médio,Alta,0.5049415064154527
17,80,Baixo,Alto,Não,8,88,Médio,Não,4,Médio,Alto,Privado,Neutro,4,Não,Faculdade,Moderado,Masculino,68,Médio,Média,-0.49670437015187013
17,97,Médio,Alto,Sim,6,87,Baixo,Sim,2,Baixo,Alto,Privado,Neutro,2,Não,Ensino Médio,Perto,Masculino,71,Médio,Alta,-0.49670437015187013
21,83,Médio,Médio,Sim,8,97,Baixo,Sim,2,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,70,Médio,Alta,0.17105954755967837
9,82,Médio,Médio,Sim,8,72,Médio,Sim,2,Médio,Médio,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,66,Médio,Alta,-1.8322322055749671
10,78,Médio,Alto,Sim,8,74,Médio,Sim,1,Baixo,Médio,Privado,Neutro,4,Não,Pós-Graduação,Perto,Masculino,65,Baixo,Média,-1.66529122614708
17,68,Médio,Médio,Não,8,70,Médio,Sim,2,Médio,Médio,Privado,Positivo,4,Não,Ensino Médio,Perto,Feminino,64,Baixo,Média,-0.49670437015187013
14,60,Médio,Baixo,Sim,10,65,Baixo,Sim,0,Alto,Médio,Privado,Positivo,3,Não,Faculdade,Perto,Masculino,60,Baixo,Baixa,-0.9975273084355315
22,70,Baixo,Médio,Sim,6,82,Médio,Sim,1,Baixo,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,65,Baixo,Média,0.3380005269875655
15,80,Médio,Médio,Sim,9,91,Baixo,Sim,3,Baixo,Médio,Público,Positivo,2,Não,Faculdade,Moderado,Feminino,67,Médio,Média,-0.8305863290076444
12,75,Médio,Alto,Sim,7,58,Médio,Sim,3,Médio,Médio,Privado,Positivo,4,Não,Faculdade,Perto,Masculino,66,Médio,Média,-1.3314092672913058
29,78,Médio,Médio,Não,5,99,Alto,Sim,0,Alto,Médio,Público,Negativo,1,Não,Ensino Médio,Moderado,Feminino,69,Médio,Média,1.5065873829827754
19,99,Médio,Alto,Não,6,84,Médio,Sim,1,Médio,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,72,Médio,Alta,-0.16282241129609587
20,74,Médio,Alto,Não,8,89,Baixo,Sim,1,Médio,Médio,Público,Negativo,2,Não,Faculdade,Moderado,Feminino,66,Médio,Média,0.0041185681317912485
11,78,Alto,Médio,Sim,8,100,Alto,Sim,1,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Masculino,66,Médio,Média,-1.498350246719193
17,65,Baixo,Alto,Sim,5,75,Médio,Sim,2,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,63,Baixo,Média,-0.49670437015187013
21,62,Alto,Baixo,Sim,6,54,Alto,Sim,0,Alto,Alto,Público,Positivo,3,Não,Pós-Graduação,Longe,Masculino,64,Baixo,Média,0.17105954755967837
13,91,Baixo,Médio,Não,6,90,Médio,Sim,1,Alto,Médio,Público,Negativo,2,Sim,Ensino Médio,Moderado,Feminino,65,Baixo,Alta,-1.1644682878634187
22,83,Alto,Alto,Sim,6,94,Médio,Sim,0,Alto,Médio,Público,Neutro,2,Não,Faculdade,Moderado,Masculino,71,Médio,Alta,0.3380005269875655
16,90,Médio,Médio,Não,4,58,Médio,Sim,1,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Feminino,66,Médio,Alta,-0.6636453495797573
18,66,Alto,Alto,Não,4,51,Baixo,Sim,2,Baixo,Médio,Privado,Neutro,2,Não,Faculdade,Perto,Masculino,64,Baixo,Média,-0.329763390723983
16,83,Baixo,Médio,Não,6,57,Médio,Sim,0,Alto,Baixo,Público,Positivo,4,Sim,Ensino Médio,Perto,Feminino,63,Baixo,Alta,-0.6636453495797573
31,70,Médio,Alto,Sim,7,66,Médio,Sim,1,Alto,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,69,Médio,Média,1.8404693418385496
20,69,Médio,Médio,Sim,8,96,Médio,Sim,2,Médio,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,Médio,Média,0.0041185681317912485
14,60,Alto,Médio,Não,5,50,Médio,Sim,2,Médio,Médio,Público,Neutro,3,Não,Faculdade,Perto,Feminino,61,Baixo,Baixa,-0.9975273084355315
25,65,Alto,Médio,Não,5,90,Médio,Sim,2,Médio,Médio,Público,Positivo,3,Não,Faculdade,Moderado,Feminino,68,Médio,Média,0.8388234652712269
13,72,Baixo,Médio,Não,6,93,Baixo,Sim,1,Baixo,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,61,Baixo,Média,-1.1644682878634187
21,65,Médio,Baixo,Sim,7,91,Baixo,Sim,2,Médio,Alto,Público,Positivo,3,Não,Ensino Médio,Longe,Feminino,64,Baixo,Média,0.17105954755967837
8,99,Médio,Médio,Não,9,54,Baixo,Sim,2,Baixo,Médio,Público,Neutro,5,Não,Pós-Graduação,Perto,Feminino,67,Médio,Alta,-1.9991731850028542
12,72,Baixo,Médio,Sim,8,84,Médio,Sim,1,Baixo,Médio,Público,Positivo,5,Não,Ensino Médio,Perto,Feminino,63,Baixo,Média,-1.3314092672913058
21,65,Baixo,Médio,Sim,6,98,Baixo,Sim,1,Médio,Alto,Público,Negativo,4,Não,Ensino Médio,Perto,Masculino,64,Baixo,Média,0.17105954755967837
24,68,Alto,Médio,Não,8,56,Baixo,Sim,3,Alto,Alto,Público,Neutro,1,Não,Faculdade,Perto,Masculino,67,Médio,Média,0.6718824858433398
21,84,Médio,Médio,Sim,6,52,Baixo,Sim,1,Médio,Alto,Público,Neutro,2,Sim,Faculdade,Longe,Feminino,65,Baixo,Alta,0.17105954755967837
19,63,Baixo,Alto,Não,7,94,Médio,Sim,1,Médio,Médio,Privado,Positivo,3,Não,Ensino Médio,Moderado,Masculino,64,Baixo,Média,-0.16282241129609587
18,94,Médio,Alto,Sim,7,82,Médio,Sim,3,Médio,Médio,Privado,Negativo,2,Sim,Faculdade,Perto,Masculino,70,Médio,Alta,-0.329763390723983
11,98,Médio,Médio,Sim,9,82,Baixo,Sim,1,Médio,Médio,Privado,Positivo,3,Não,Pós-Graduação,Longe,Masculino,68,Médio,Alta,-1.498350246719193
16,70,Médio,Médio,Sim,8,98,Médio,Sim,2,Médio,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,65,Baixo,Média,-0.6636453495797573
17,78,Médio,Médio,Sim,6,88,Médio,Sim,1,Médio,Alto,Privado,Positivo,3,Não,Faculdade,Perto,Feminino,68,Médio,Média,-0.49670437015187013
26,61,Médio,Baixo,Sim,6,70,Médio,Sim,2,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Feminino,64,Baixo,Média,1.005764444699114
22,86,Baixo,Médio,Sim,7,72,Baixo,Sim,3,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Moderado,Masculino,68,Médio,Alta,0.3380005269875655
9,77,Médio,Médio,Não,5,57,Médio,Sim,2,Médio,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,63,Baixo,Média,-1.8322322055749671
22,71,Baixo,Médio,Sim,7,65,Baixo,Sim,1,Médio,Baixo,Público,Positivo,4,Não,Faculdade,Moderado,Masculino,64,Baixo,Média,0.3380005269875655
18,68,Alto,Médio,Não,7,72,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Faculdade,Perto,Masculino,64,Baixo,Média,-0.329763390723983
16,86,Baixo,Médio,Sim,8,63,Médio,Sim,2,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,67,Médio,Alta,-0.6636453495797573
24,77,Alto,Baixo,Não,8,96,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,67,Médio,Média,0.6718824858433398
26,67,Médio,Alto,Sim,7,51,Baixo,Sim,2,Alto,Alto,Privado,Neutro,4,Sim,Pós-Graduação,Longe,Feminino,66,Médio,Média,1.005764444699114
26,88,Médio,Alto,Sim,5,79,Médio,Sim,1,Baixo,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Masculino,72,Médio,Alta,1.005764444699114
15,83,Médio,Alto,Não,5,89,Baixo,Não,1,Médio,Alto,Público,Neutro,2,Sim,Ensino Médio,Perto,Feminino,65,Baixo,Alta,-0.8305863290076444
18,94,Médio,Médio,Sim,6,87,Alto,Sim,1,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,71,Médio,Alta,-0.329763390723983
22,65,Alto,Baixo,Não,8,82,Médio,Sim,2,Médio,Alto,Público,Positivo,1,Não,Pós-Graduação,Perto,Feminino,66,Médio,Média,0.3380005269875655
26,91,Médio,Baixo,Sim,8,71,Médio,Sim,0,Baixo,Médio,Privado,Neutro,3,Não,Ensino Médio,Moderado,Masculino,68,Médio,Alta,1.005764444699114
17,87,Médio,Médio,Não,7,96,Médio,Sim,1,Alto,Médio,Público,Negativo,5,Não,Pós-Graduação,Perto,Feminino,70,Médio,Alta,-0.49670437015187013
19,65,Médio,Médio,Sim,10,66,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,62,Baixo,Média,-0.16282241129609587
13,88,Baixo,Alto,Sim,9,88,Alto,Sim,2,Baixo,Alto,Privado,Negativo,4,Não,Pós-Graduação,Longe,Masculino,68,Médio,Alta,-1.1644682878634187
13,78,Médio,Alto,Sim,9,96,Alto,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Faculdade,Moderado,Masculino,67,Médio,Média,-1.1644682878634187
25,98,Baixo,Alto,Sim,8,56,Médio,Não,0,Médio,Alto,Privado,Neutro,3,Não,Pós-Graduação,Perto,Masculino,71,Médio,Alta,0.8388234652712269
28,66,Médio,Alto,Sim,8,97,Médio,Sim,0,Médio,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Masculino,68,Médio,Média,1.3396464035548883
20,86,Médio,Médio,Sim,8,89,Médio,Sim,1,Baixo,Médio,Público,Negativo,3,Não,Pós-Graduação,Perto,Masculino,69,Médio,Alta,0.0041185681317912485
26,75,Baixo,Alto,Sim,4,81,Alto,Sim,3,Médio,Alto,Privado,Positivo,2,Não,Ensino Médio,Moderado,Masculino,70,Médio,Média,1.005764444699114
22,98,Médio,Alto,Não,5,69,Baixo,Não,1,Baixo,Alto,Público,Negativo,4,Não,Ensino Médio,Moderado,Feminino,69,Médio,Alta,0.3380005269875655
16,73,Médio,Médio,Não,7,95,Médio,Sim,1,Baixo,Médio,Público,Negativo,4,Não,Faculdade,Perto,Masculino,65,Baixo,Média,-0.6636453495797573
22,98,Médio,Baixo,Sim,7,52,Médio,Não,3,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Feminino,70,Médio,Alta,0.3380005269875655
29,96,Médio,Baixo,Sim,7,72,Médio,Sim,1,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,71,Médio,Alta,1.5065873829827754
20,71,Médio,Médio,Sim,7,88,Médio,Sim,1,Baixo,Baixo,Público,Neutro,4,Não,Faculdade,Perto,Feminino,65,Baixo,Média,0.0041185681317912485
29,92,Baixo,Médio,Não,4,91,Médio,Sim,2,Médio,Médio,Público,Negativo,1,Não,Pós-Graduação,Perto,Feminino,72,Médio,Alta,1.5065873829827754
4,100,Alto,Alto,Sim,8,60,Alto,Sim,0,Médio,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Masculino,69,Médio,Alta,-2.6669371027144027
25,70,Médio,Médio,Não,7,52,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,66,Médio,Média,0.8388234652712269
